descriptions,height,images,links,texts,titles,types,url,width
"camera,to,much,dvds,video,sign,sports,one,digital,prime,at,unlimited,on,pc,garden,books,lcd,dvd,low,electronics,prices,up,cameras,music,and,day,more,delivery,for,games,tv,home,software",5924.82,74,215,230,"low,electronics,uk,prices,equipment,in,books,sports,more,co",,https://www.amazon.co.uk/,1903
"camera,to,much,dvds,video,sign,sports,one,digital,prime,at,unlimited,on,pc,garden,books,lcd,dvd,low,electronics,prices,up,cameras,music,and,day,more,delivery,for,games,tv,home,software",5865.82,174,300,229,"low,electronics,uk,prices,equipment,in,books,sports,more,co",,https://www.amazon.co.uk/ref=nav_logo,1903
,4421.82,10,136,236,"uk,prime,co",,https://www.amazon.co.uk/amazonprime?_encoding=UTF8&ref_=nav_logo_prime_join,1903
,611.717,0,12,11,"sign,in",,https://www.amazon.co.uk/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.co.uk%2F%3Fref_%3Dnav_ya_signin%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=gbflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,1920
,611.717,0,12,11,"sign,in",,https://www.amazon.co.uk/ap/signin?_encoding=UTF8&accountStatusPolicy=P1&openid.assoc_handle=gbflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.co.uk%2Fgp%2Fcss%2Forder-history%3Fie%3DUTF8%26ref_%3Dnav_orders_first&pageId=webcs-yourorder&showRmrMe=1,1920
,4421.82,10,136,236,"uk,prime,co",,https://www.amazon.co.uk/amazonprime?_encoding=UTF8&ref_=nav_prime_try_btn,1903
,1778.58,11,171,216,"uk,basket,shopping,co",,https://www.amazon.co.uk/gp/cart/view.html?ref_=nav_cart,1903
,3194.32,1,356,433,"earth,uk,biggest,selection,co",,https://www.amazon.co.uk/gp/site-directory?ref_=nav_shopall_btn,1903
,611.717,0,12,11,"sign,in",,https://www.amazon.co.uk/ap/signin?_encoding=UTF8&openid.assoc_handle=gbflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.co.uk%2Fgp%2Fyourstore%2Fcard%3Fie%3DUTF8%26ref_%3Dcust_rec_intestitial_signin,1920
"bargains,today,hand,gold,shop,sales,our,with,top,picked,the,good,on,daily,great,deals,of,featuring,low,savings,uk,prices,quick,and,day,online,box,specials,best,for,updated,deal,products,hot,lightning,new",7256.82,67,357,651,"uk,deals,daily,our,discover",,https://www.amazon.co.uk/gp/deals?ref_=nav_cs_gb,1903
"mail,mother,voucher,codes,to,father,fathers,account,saying,wedding,in,vouchers,engagement,ideas,him,her,email,giftcards,or,kids,birthday,you,thank,thanks,prizes,instant,rewards,greeting,valentines,my,print,christmas,kindle,congratulations,valentine,certificate,uk,corporate,gifts,cards,printable,incentives,give,redeem,day,mobile,code,mothers,birthdays,gift,certificates,online,box,school,personalised,tokens,for,buy,card,send,boxes",3300.05,26,173,274,"uk,cards,gift,co",,https://www.amazon.co.uk/Giftcards-Giftvouchers-Vouchers-Birthday-Gifts/b/?ie=UTF8&node=1571304031&ref_=nav_cs_gc,1903
"online,uk,selling,from,at,shops,for,store,on,selection,start,now,great,shopping,co",3014.58,10,108,175,"uk,selling,shops,on,start,now,co",,https://www.amazon.co.uk/b/?_encoding=UTF8&ld=AZUKGNOSellC&node=2374298031&ref_=nav_cs_sell,1903
,2376.77,12,316,207,"uk,help,co",,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_help,1903
"camera,to,much,dvds,video,sign,sports,one,digital,prime,at,unlimited,on,pc,garden,books,lcd,dvd,low,electronics,prices,up,cameras,music,and,day,more,delivery,for,games,tv,home,software",5865.82,39,214,229,"low,electronics,uk,prices,equipment,in,books,sports,more,co",,https://www.amazon.co.uk/,1903
"to,exclusively,global,sign,the,prime,enjoy,at,of,experience,two,only,uk,is,up,july,that,event,day,through,shopping,millions,co,starting,benefits,for,members",6798,78,213,380,"prime,are,everywhere,day,deals",,https://www.amazon.co.uk/l/10157705031?pf_rd_p=16f75b78-4d19-4be0-9d27-138d746f3d70&pf_rd_r=M9PC5WCHZXB07TFC2XM7,1903
,2233.55,7,136,207,"uk,cookies,help,co",,https://www.amazon.co.uk/gp/help/customer/display.html/?nodeId=201890250&pf_rd_p=7925d2f6-c463-4162-861f-c00ab076e5a2&pf_rd_r=M9PC5WCHZXB07TFC2XM7,1903
